channelId,publishedAt,video_type,title,duration,viewCount,likeCount,favoriteCount,commentCount,description
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-07T14:56:22Z,live,"【 🐺☀️ #大神 】⚠️ﾈﾀﾊﾞﾚ有（4）桜🌸咲かせ散歩 ～ 花香る浜辺に【 明霧れい ／ #VTuber 】",PT2H48M10S,12,6,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-27T16:53:17Z,live,"【🦖❄ #MHWIB 】（11） 久々の配信モンハン！なんか強いの狩るみたい？【 明霧れい ／ #VTuber 】",PT3H42M8S,40,5,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-29T03:08:40Z,live,"【 🏫👻 #迷宮校舎 】コラボ　学校を抜け出して【 明霧れい ／ #VTuber 】",PT1H42M40S,17,4,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-09T14:21:07Z,live,"【 #KeepTalkingAndNobodyExplodes 】コラボ　春は爆弾解除 やうやう減りゆくタイマー【 #VTuber 】",PT2H14M25S,17,7,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-21T15:36:34Z,live,"【 🐺☀️ #大神 】⚠️ﾈﾀﾊﾞﾚ有（6）桜🌸咲かせ散歩 ～ 北の大地に春をお届け【 明霧れい ／ #VTuber 】",PT3H21M26S,10,2,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-12T17:46:28Z,live,"【 #雀魂 参加型 】雀一色🔰【 明霧れい ／ #VTuber 】",PT2H19M3S,48,11,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-14T16:04:32Z,live,"【 🐺☀️ #大神 】⚠️ﾈﾀﾊﾞﾚ有（5）桜🌸咲かせ散歩 ～ 大海原を駆ける【 明霧れい ／ #VTuber 】",PT3H52M,18,4,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-03-31T15:01:25Z,live,"【 🐺☀️ #大神 】⚠️ﾈﾀﾊﾞﾚ有（3）桜🌸咲かせ散歩 ～ 爽風を送風【 明霧れい ／ #VTuber 】",PT2H49M52S,17,6,0,0,""
UCQtcdZ7eN5Ek9wraCtCVzGQ,2024-04-06T15:11:49Z,live,"【  #飲酒雑談配信 】コラボ　怒ってます【 明霧れい ／ #VTuber 】",PT3H2S,78,5,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-07T11:00:08Z,movie,"【存在しないにじさんじのゲームBGM】チュートリアルをしてくれるヒスピ【北小路ヒスイ】",PT1M26S,1024,58,0,1,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-10T13:52:55Z,movie,"【空耳】めっちゃ呼ばれた【新人Vtuber】 #shots #vtuber #雨音水月＃空耳",PT8S,232,11,0,3,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-15T01:44:11Z,live,"【100人突破おめでとう配信】やってなかったからやるぞ！【新人Vtuber】",PT1H16M49S,47,4,0,5,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-02T02:56:51Z,live,"【にじさんじ作曲配信】いやだ！剣持刀子は実在するんだ！！【ただの顎リス】",PT51M53S,471,18,0,1,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-25T11:00:01Z,movie,"【簡易無量空処】生首に色々つけて遊ぶ雨音水月【切り抜き／新人Vtuber】",PT1M,38,2,0,2,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-21T08:00:20Z,movie,"【存在しないホロライブのゲームBGM】姫森ルーナのテーマ【姫森ルーナ】",PT1M35S,879,35,0,2,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-13T23:36:43Z,live,"【にじホロ作曲配信】ガチャで出た人気VtuberのBGMを作ってく　2回目【にじさんじ／ホロライブ】",PT25M26S,53,2,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-29T01:43:45Z,live,"【1000人突破おめでとう配信】収益化しました！！！（）【作曲系Vtuber】",PT1H49M9S,46,9,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-13T14:14:24Z,live,"【にじホロ作曲配信】ガチャで出た人気VtuberのBGMを作ってく　2回目【にじさんじ／ホロライブ】",PT2H28M8S,42,3,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-21T02:39:32Z,live,"【存在しないゲームの作曲配信】第二章の曲をちょっと作る予定【新人Vtuber】",PT1H18M49S,50,1,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-21T13:53:14Z,live,"【500人突破おめでとう配信】みんなありがとう（）【新人Vtuber】",PT2H40M28S,38,5,0,0,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-28T09:00:37Z,movie,"【存在しないにじさんじのゲームBGM】課金アイテムを売ってくれる魁星【魁星】",PT1M51S,99,6,0,2,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-02T12:17:08Z,movie,"【存在しない記憶】告白する剣持刀子のBGM【ファンBGM／剣持刀也】",PT38S,709,62,0,4,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-27T09:00:07Z,movie,"【存在しないゲームの城下町のBGM】16.チェンバロの街【REIN】",PT2M57S,560,36,0,6,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-14T11:00:47Z,movie,"【存在しないホロライブのゲームBGM】この世界が何なのか説明してくれる儒烏風亭らでん【儒烏風亭らでん】",PT1M34S,472,19,0,2,""
UC4drTm13k1Keo3Y04tgk6pw,2024-04-02T12:30:22Z,movie,"【存在しない記憶】来年はきっとあなたの隣にいれるから【ファンBGM/剣持刀也】#vtuber #剣持刀也 #にじさんじ",PT38S,60,6,0,0,""
